"","artist_name","track_name","lyrics"
"17","Armin van Buuren","What If - Feat. Vera Ostrova - Arnej Remix","what if lyrics what if i got right intomy minds velocitywhat if i finally discoveredthe rules of eternitywill you stop running? will you stop hiding?and looking fot material thingswill you start searching will you start seeking foryour immortal wingswhat if i tell youwhat we live for what we die forwhat if i tell youthat you will be born againwhat if i tell youwhat we live for what we die forwhat if i tell youthat you will be born again and you will doit all over again and again and again and again"
"19","Tame Impala","It Is Not Meant To Be","i wanted her i wanted herbut she doesnt like the life that i leadshe doesnt like the life that i leaddoesnt like sand stuck on her feetor sittin around smokin weedi must seem more like a friend in needand i boast that it is meant to bebut in all honesty i dont have a hope in hellim happy just to watch her moveand in all honesty i dont have a hope in hellim happy just to watch her moveand she doesnt like the friends that i makedoesnt make friends for friendships sakeshe just gets bored sitting by the lakeher soul wont surface and her heart wont acheand i boast that it is meant to bebut in all honesty i dont have a hope in hellim happy just to watch her moveand i thought they could cure his diseasebut in all honesty he didnt have a hope in hellnow well never see him move"
"20","Niall Horan","Black And White","that first night we were standin at your doorfumblin for your keys then i kissedyouaskme if iwanna come insidecause we didnt wannaend the nightthen you took my hand and i followed youyeah i see us in black and whitecrystal clear on a starlit nightin all your gorgeous coloursi promise that ill love you for the rest of my lifesee you standing in your dressswear in front of all our friendstherell never be anotheri promise that ill love you for the rest of my lifenow were sittin here in your livin roomtellin stories while we share a drink or twoand theres a vision ive been holdin in my mindwere sixty-five and you askwhen did i first know i always knewand i see us in black and whitecrystal clear on a starlit nightin all your gorgeous coloursi promise that ill love you for the rest of my lifesee you standing in your dressswear in front of all our friendstherell never be anotheri promise that ill love you for the rest of my lifeand i want the world to witness when we finally say i doits the way you love i gotta give it back to youi cant promise picket fences or sunny afternoonsbut at night when i close my eyesi see us in black and whitecrystal clear on a starlit nighttherell never be anotheri promise that ill love youi see us in black and whitecrystal clear on a starlit nightin all your gorgeous coloursi promise that ill love you for the rest of my lifesee you standing in your dressswear in front of all our friendstherell never be another never bei promise that ill love you for the rest of my lifeand therell never be anotheri promise that ill love you for the rest of my life"
"21","Arizona Zervas","Parted Ways","i just seen you on the gramim glad youre doing wellyou still look cute as hellbut that dont mean i want you backno i aint foolish nowi cant look stupid now22 i got my mind righti learned girls like you aint my typei had to let you go to see the real youyou youthat shit it opened up my eyesight yeahspreading lies about me to like all of your friendssee you roll your eyes when i would mention the benzyou told me get a back-up plan and watch what i spendnow you living with your parentsgot them paying your renti tried to get you here and get you motivatedbut you aint got no passion you just smoking latelyevery single day all you wanna do is laygirl theres nothing left to sayim just glad we parted waysyeah im glad we parted waysi just seen you on the gramim glad youre doing wellyou still look cute as hellbut that dont mean i want you backno i aint foolish nowi cant look stupid nowparted ways yeah yeah we parted waysyeah we parted waysparted ways yeah yeah we parted waysyeah we parted waysyeah we parted ways what a seasonim not searching for a love for no reasonyeah just for it to go to wastei would rather drown or wrap a bag around my faceaye keep my mind straightyour phone on vibrate and annihilatebullshit thrown up in my wayi remember when we used to chill at my placethought you were the onenow im looking at you sidewaysgod damn man its funny how things changeback then i wouldve boughten you a wedding ringnow it just seems strange but i still feel the paini just seen you on the gramim glad youre doing wellyou still look cute as hellbut that dont mean i want you backno i aint foolish nowi cant look stupid nowparted ways yeah yeah we parted waysyeah we parted waysparted ways yeah yeah we parted waysyeah we parted ways"
"24","David Guetta","Lovers on the Sun (feat. Sam Martin)","lets light it up lets light it upuntil our hearts catch firethen show the world a burning lightthat never shined so brightwell find a way well find a wayto keep the cold nightfrom breaking in over the wallsinto the wild side the hunger satisfiedwere burning upwe might as well be lovers on the sunwe might as well be lovers on the sunwe might as well be lovers on the sunwell never know well never knowwhat stands behind the doorbut i got a feelingits a feeling thats worth dying forjust close your eyes and hold your breathbecause it feels rightwell keep it moving till we make it to the other sideand lets enjoy the ridewere burning upwe might as well be lovers on the sunwe might as well be lovers on the sunwe might as well be lovers on the sunlets light it up lets light it upuntil our hearts catch fireand show the world a burning lighttheyve never shined so bright"
"28","Paul McCartney","No More Lonely Nights","i can wait another day until i call youmm-hmyouve only got my heart on a stringand everything aflutter na na na nabut another lonely night might take forever na na na naweve only got each other to blameits all the same to me lovecause i knowwhat i feelto be rightno more lonely nightsno more lonely nightsyoure my guiding lightday or night im always theremay i never miss the thrillna-na-na na na-na-na naof being near youna-na-na-na-na-naand if it takes a couple of yearsto turn your tears to laughteri will dowhat i feelto be rightno more lonely nights never be anotherno more lonely nightsyoure my guiding lightday or night im always thereand i wont go away until you tell me sono ill never go awayyes i knowwhat i feelto be rightno more lonely nights never be anotherno more lonely nightsyoure my guiding lightday or night im always thereand i wont go away until you tell me sono ill never go awayand i wont go away until you tell me sono ill never go awayno more lonely nightsno nohoo"
"30","Elton John","The Best Part Of The Day","i hear you singing i shall be releasedlike a chainsaw running through a masterpiecebut thats all right thats okgrab the bottle and slide my wayyou dreamed of a devil down belowsprinkled cayenne pepper in your sugar bowlbut hes a fool and hes a thiefgot silly little horns and pointed teethroll back the covers and raise the shadeswe dont want to miss out on the best part of the dayyoure my best friend you shared my crazy waysnow we dont want to miss out on the best part of the daytheres a canyon where an echo hangslike the ancient bells of notre dameits beyond the hills out of sightthought i heard em ringing all last nighthear the mating call of the morning dovelike romeo angels in the roof aboverains will come sweet and cleanlet the tears of god keep the mountains greenone big sun coming upold moon going downthunder breaking in the eastim going to love you until it comes aroundyoure my best friend you shared my crazy waysnow we dont want to miss out on the best part of the day"
"31","Elvis Presley","My Baby Left Me","yes my baby left menever said a wordwas it something i donesomething that she heard?my baby left memy baby left memy baby even left menever said a wordnow i stand at my windowwring my hands and cryi hate to lose that womanhate to say goodbyeyou know she left meyes she left memy baby even left menever said a wordbaby one of these morningslord it wont be longyoull look for me andbaby and daddy hell be gonehook"
"33","Nicki Minaj","All Things Go","yo i had to reinvent i put the v in venti put the heat in vents man i been competin sincei look beyond what people sayin and i see intentthen i just sit back and decipher what they really meantcherish these nights cherish these peoplelife is a movie but therell never be a sequeland im good with that as long as im peacefulas long as seven years from now im takin my daughter to preschoolcherish these days man do they go quickjust yesterday i swear it was 06ten years ago thats when you proposedi looked down yes i supposeall things go all things goall things go all things goi feel one minute yeah we got it then its gonewhile we keep waitin for a moment to live forso cant nobody ever tell me that im wrongcause ima ride out wit you still the night is youngand we keep goin we go we go we gowe wake back up and do it all again and we know we knowsaid fuck the world we ridin til the endwhen all is said and done look what weve become oh we goi just want you to know that i did it for youi lost my little cousin to a senseless act of violencehis sister said he wanted to stay with me but i didnt invite himwhy didnt he ask? or am i just buggin?cause since i got fame they dont act the sameeven though they know that i love emfamily ties broken before meniggas tryna kill him he aint even call meand thats the reflection of meyes i get it i get it was all meill pop a pill and rememberthe look in his eyes the last day he saw meall things go all things goall things go all things goi feel one minute yeah we got it then its gonewhile we keep waitin for a moment to live forso cant nobody ever tell me that im wrongcause ima ride out wit you still the night is youngand we keep goin we go we go we gowe wake back up and do it all again and we know we knowsaid fuck the world we ridin til the endwhen all is said and done look what weve become oh we goi just want you to know that i did it for youlemme make this clear im not difficult im just bout my businessim not into fake industry parties and fake agendasrock with people for how they make me feel not what they give meeven the ones that hurt me the most i still show forgivenessi love my mother more than life itself and thats a factid give it all if somehow i could just rekindle thatshe never understands why im so overprotectivethe more i work the more i feel like somehow theyre neglectedi want caiah to go to college just to say we did itmy child with aaron woulda been sixteen any minuteso in some ways i feel like caiah is the both of themits like hes caiahs little angel lookin over himand i know jelani will always love me and ill always love himand im just his little sister not nicki minaj when im around himgee we did it lets leave this imprintjust finished writin this is the pinkprintall things go all things goall things go all things go"
"38","Justin Bieber","Second Emotion","try to bite my tongue but i cant take iti got whiplash from me turninmyheadhave somewhere elseto go no i cant makeitid rather take my chance with you insteaddo you second that emotion? do you?do you second that emotion? do you?you really got me open do you?do you second that emotion? do you?high heels on heard you comin fore i seent yamovies all around but you look like the featurehad another meeting now my plan is to meet yougot my hands out all i wanna do is reach yaall i wanna do is greet yainfatuated sorry if i starewhere you posted up? i wanna be thereway you curved up it just aint fairno it ainttry to bite my tongue but i cant take iti got whiplash from me turnin my headhave somewhere else to go no i cant make itid rather take my chance with you insteaddo you second that emotion? do you?do you second that emotion? do you?you really got me open do you?do you second that emotion? do you?got me feeling giddy ah like la la la la yeahstruck a match you got me litty like la la la la its lityou got the keys to my city ooh like la la la la straight updo you second that emotion baby? ah yeahmmm yeahout to big boys its litspring her off the hitch yeah everything legitmovin like the blitz blitz crib like the ritz like the ritzso you know theres room skrrtso baby pleasehold up nah nah nah that was the first time she did thatdont like to talk to bitch yeah just like to play the wishi know the problem is they bothered by the kid im tryna pop another one inoh you sent the jet out for me?you tryna ball harder than me?did i come cross your radar?cross your mind now and later?do you feel like you know me?its just a part of naturelets ask each other questionscan we do each other favors?would you mind the labor? babytry to bite my tongue but i cant take it ooh-weei got whiplash from me turnin my head hey hey heyhave somewhere else to go no i cant make it ooh-weeid rather take my chance with you insteaddo you second that emotion? do you?do you second that emotion? do you?you really got me open do you?do you second that emotion? do you?got me feeling giddy like la la la lastruck a match you got me litty like la la la layou got the keys to my city like la la la lado you second that emotion baby?"
"41","Ariana Grande","Love Is Everything","its time for us to all give somethingits time for us to all give somethingall around the world this time of yearall around the world this time of yearas a matter of fact it wont cost you nothingas a matter of fact it wont cost you nothingits in your heart you got it right there you got it right therethe truth is your heart is the biggest gift you can give anyonei know we can do itcause when i look around theres enough for everyone uh-huhif you spend a little time look deep insidesearch your heart and im sure youll findthat the best gift you could give this christmasall we need is love give love love love lovelove is all we need give love love love lovelove underneath the tree love is everythingall we need is love give love love love lovelove is all we need give love love love lovelet your heart believe that love is everything love is everythingwell give it all cause its the seasonwell give it all cause its the seasonspreading lots of joy and lots of cheerlots of joy and lots of cheerif you need a cost if you need a reason oh yeahits the gift that just wont disappear wont disappearthe truth is your heart is the biggest gift you can give anyonei know we can do itcause when i look around theres enough for everyone uh-huhif you spend a little time look deep insidesearch your heart and im sure youll findthat the best gift you could give this christmasall we need is love give love love love lovelove is all we need give love love love lovelove underneath the tree love is everything love is everythingall we need is love give love love love lovelove is all we need give love love love lovelet your heart believe that love is everything love is everythinglove who you love no one can judgefollow your heart and dont give upcause thats what this days aboutso grab em close and hold them inand dont let go cause christmas is hereall we need is love give lovelove is all we need all we needlove underneath the tree the treelove is everything love is everything babyall we need is love give lovelove is all we need all we needlet your heart believe believelove is everything love is everything love is everything babyall we need is love give love love love lovelove is all we need give love love love loveyeah no no babylove underneath the tree love is everything love is everything oh oohall we need is love give love love love lovelove is all we need give love love love lovelet your heart believe that love is everything love is everything love is everything love is everything ayall we need is love love is all we needgive love love love love oh yeahlove underneath the treelove is everything babylove is everything love is everythingall you need is love you need is lovegive love love love lovegive love love love love"
"43","Maroon 5","Sugar","im hurting baby im broken downi need your loving loving i need it nowwhen im without you im something weakyou got me begging begging im on my kneesi dont wanna be needing your lovei just wanna be deep in your loveand its killing me when youre awayooh babycause i really dont care where you arei just wanna be there where you areand i gotta get one little tastesugar yes pleasewont you come and put it down on me?im right here cause i needlittle love a little sympathyyeah you show me good loving make it alrightneed a little sweetness in my lifeyour sugar yes pleasewont you come and put it down on me?babe my broken pieces you pick them updont leave me hanging hanging come give me somewhen im without you im so insecureyou are the one thing one thing im living fori dont wanna be needing your lovei just wanna be deep in your loveand its killing me when youre awayooh babycause i really dont care where you arei just wanna be there where you areand i gotta get one little tastesugar yes pleasewont you come and put it down on me?im right here cause i needlittle love a little sympathyyeah you show me good loving make it alrightneed a little sweetness in my lifeyour sugar yes please your sugar yes pleasewont you come and put it down on me?yeahi want that red velveti want that sugar sweetdont let nobody touch it unless that somebodys mei gotta be a man there aint no other waycause girl youre hotter than a southern california daynever wanna play no games you dont gotta be afraiddont give me all that shy shitno makeup on thats my sugarsugar yes please pleasewont you come and put it down on me? down on meim right here cause i need im right here cause i needlittle love a little sympathyyeah you show me good loving make it alrightneed a little sweetness in my life yeahyour sugar yes please your sugar yes pleasewont you come and put it down on me? down on mesugar yes pleasewont you come and put it down on me?im right here cause i need im right here cause i needlittle love a little sympathyyeah you show me good loving make it alrightneed a little sweetness in my lifeyour sugar yes please your sugar yes pleasewont you come and put it down on me?down on me down on me ooh"
"44","Mark Ronson","Introducing The Business","introducing the business lyrics lyrics for this song have yet to be released please check back once the song has been released"
"45","Elton John","Heels Of The Wind - Remastered 2003","just like a broken marriage when two people just dont carelike when the cupboard is empty or theres no food in the frigidaireim a page from the end of the storyno closer to my hope and gloryjust a kick away from the heels of the windhow come it gets so disturbing when two ships pass in the stormwho knows how high the crow flies who knows where this refugee was bornand just for the sake of all these reasonsrains wash out the fires withinfires that help to keep you movingjust a kick away from the heels of the windyou dont deserve that treatment i cant pretend i was that niceim no e ticket ride to disneyland im no cushy first class flightim a day behind your restless wingsyou you rather have the wealth of kingsme id rather be on the heels of the windand just for the sake of all these reasonsrains wash out the fires withinthe fires that help to keep you movingjust a kick away from the heels of the windand just for the sake of all these reasonsrains wash out the fires withinfires that help to keep you movingjust a kick away from the heels of the windjust a kick away from the heels of the windwell mama just a kick away just a kick awayjust a kick away from the heels of the wind"
"50","Oasis","Slide Away","slide away and give it all youve gotmy today fell in from the topi dream of you and all the things you sayi wonder where you are nowhold me down all the worlds asleepneed you now youve knocked me off my feeti dream of you and we talk of growing oldbut you said please dontslide in baby together well flyive tried prayingbut i dont know what youre saying to menow that youre minewell find a wayof chasing the sunlet me be the one that shines with youin the morning we dont know what to dotwo of a kindwell find a wayto do what weve donelet me be the one who shines with youand we can slide awayslide awayslide awayawayslide away and give it all youve gotmy today fell in from the topi dream of you and all the things you sayi wonder where you are nowslide in baby together well flyive tried prayingand i know just what youre saying to menow that youre minewell find a wayof chasing the sunlet me be the one that shines with youin the morning we dont know what to dowere two of a kindwell find a wayto do what weve doneoh let me be the one who shines with youand we can slide awayslide awayslide awayslide awayslide away and i wanna try now i wanna make you mine nowslide away and i wanna try now i wanna make you mine nowslide away and i wanna try now i wanna make you mine nowslide away and i wanna try now i wanna make you mine nowoohhhh ooh-oohhhhoohhhh ooh-oohhhhdont know dont careall i know is you can take me theredont know dont careall i know is you can take me there slide awaydont know dont careall i know is you can take me there slide awaydont know dont careall i know is you can take me there slide awaydont know dont careall i know is you can take me there slide awaytake me there take me there take me there slide awaytake me there take me there all i know is you can take me there slide awaytake me there take me there take me there slide awaytake me there slide away take me there slide away take me there slide away"
"53","Passenger","The Way That I Love You - (Acoustic) [Single Version]","how many times can i tell youyoure lovely just the way you are?dont let theworldcome and changeyoudont let life break your heartdontput on their mask dont wear their disguisedont let themdimthelight that shinesin your eyesifonly you could love yourself the way that i love youhow many times can i sayyou dont have to change a thing?dont let the tide wash you awaydont let worry ever clip your wingsdiscard what is fake keep what is realpursue what you love embrace how you feelif only you could love yourself the way that i love youand if you ever choose a road that leads nowhereall alone and you cant see right from wrongand if you ever lose yourself out therecome on home and ill sing you this songso how many times can i tell youyoure lovely just the way you are?dont let the world come and change youdont let life break your heart"
"54","Kylie Minogue","My Secret Heart - Instrumental","i look at your pictureand stare into spacei think i must knowevery line on your faceand youll never knowthe feelings i keeplike the man in the moonyoure way out of reachso dreams are all i havebecause were worlds apartall alone with my secret hearti write you these lettersthat ill never sendits crazy i knowbut still i pretendthough weve never metdont think im naivei know you so wellthough its all make believeand dreams are all i havebecause youre far awayall alone with my secret heartall alone with my secret hearti must have held your hand a thousand timesand felt your heart was beating next to minenext to mineeven though its just a liethere are no tears in my eyesif your picture could speak to mewhat would you saymaybe youd just have tolaugh in my faceand dreams would be much betterthan realityall alone with my secret heartall alone with my secret heartall alone with my secret heartall alone with my secret heartall alone with my secret heartall alone with my secret heart"
